"Model","Watt(W)","Sources","DistinctPDFs","Note"
"MPM-10","8.3","1","1",""
"MPM-15","11.6","1","1",""
"MPM-20-12","21","1","1",""
"MPM-20-15","21.6","1","1",""
"MPM-20-3.3","20","1","1",""
"MPM-20-5","21.6","1","1",""
"MSP-1000","960","1","1",""
"MSP-100-12","102","1","1",""
"MSP-100-15","105","1","1",""
"MSP-100-24","108","1","1",""
"MSP-100-3.3","66","1","1",""
"MSP-100-36","104.4","1","1",""
"MSP-100-48","105.6","1","1",""
"MSP-100-5","85","1","1",""
"MSP-100-7.5","101.3","1","1",""
"MSP-1600","1600","1","1",""
"MSP-200-12","200.4","1","1",""
"MSP-200-15","201","1","1",""
"MSP-200-24","201.6","1","1",""
"MSP-200-3.3","132","1","1",""
"MSP-200-36","205.2","1","1",""
"MSP-200-48","206.4","1","1",""
"MSP-200-5","175","1","1",""
"MSP-200-7.5","200.3","1","1",""
"MSP-300-12","324","1","1",""
"MSP-300-15","330","1","1",""
"MSP-300-24","336","1","1",""
"MSP-300-3.3","198","1","1",""
"MSP-300-36","324","1","1",""
"MSP-300-48","336","1","1",""
"MSP-300-5","300","1","1",""
"MSP-300-7.5","300","1","1",""
"MSP-450-12","450","1","1",""
"MSP-450-15","450","1","1",""
"MSP-450-24","451.2","1","1",""
"MSP-450-3.3","297","1","1",""
"MSP-450-36","450","1","1",""
"MSP-450-48","456","1","1",""
"MSP-450-5","450","1","1",""
"MSP-450-7.5","450","1","1",""
"MSP-600-12","636","1","1",""
"MSP-600-15","645","1","1",""
"MSP-600-24","648","1","1",""
"MSP-600-3.3","396","1","1",""
"MSP-600-36","630","1","1",""
"MSP-600-48","624","1","1",""
"MSP-600-5","600","1","1",""
"MSP-600-7.5","600","1","1",""
"N78-2","2","1","1",""
"NDR-240","240","1","1",""
"NEL-400-4.2","224","1","1",""
"NHDD-40","35","1","1",""
"NID100-12","90","1","1",""
"NID100-15","97.5","1","1",""
"NID100-24","100.8","1","1",""
"NID100-5","55","1","1",""
"NID35-12","34.8","1","1",""
"NID35-15","36","1","1",""
"NID35-24","36","1","1",""
"NID35-5","17.5","1","1",""
"NID65-12","58.8","1","1",""
"NID65-15","64.5","1","1",""
"NID65-24","64.8","1","1",""
"NID65-5","32.5","1","1",""
"NO.62368-1","1685","1","1",""
"NOTE.8)","600","1","1",""
"NPB-450","420","1","1",""
"NPF-120D-12","120","1","1",""
"NPF-120D-15","120","1","1",""
"NPF-120D-20","120","1","1",""
"NPF-120D-24","120","1","1",""
"NPF-120D-30","120","1","1",""
"NPF-120D-36","120","1","1",""
"NPF-120D-42","124.2","1","1",""
"NPF-40D-12","40.08","1","1",""
"NPF-40D-15","40.08","1","1",""
"NPF-40D-20","40","1","1",""
"NPF-40D-24","40.08","1","1",""
"NPF-40D-30","40.2","1","1",""
"NPF-40D-36","40.32","1","1",""
"NPF-40D-42","41.04","1","1",""
"NPF-60D-12","60","1","1",""
"NPF-60D-15","60","1","1",""
"NPF-60D-20","60","1","1",""
"NPF-60D-24","60","1","1",""
"NPF-60D-30","60","1","1",""
"NPF-60D-36","60","1","1",""
"NPF-60D-42","60.48","1","1",""
"NPF-90D-12","90","1","1",""
"NPF-90D-15","90","1","1",""
"NPF-90D-20","90","1","1",""
"NPF-90D-24","90","1","1",""
"NPF-90D-30","90","1","1",""
"NPF-90D-36","90.24","1","1",""
"NPF-90D-42","90.18","1","1",""
"NSD05-12S12","5.04","1","1",""
"NSD05-12S15","4.95","1","1",""
"NSD05-12S3","3.96","1","1",""
"NSD05-12S5","5","1","1",""
"NSD05-48S12","5.04","1","1",""
"NSD05-48S15","4.95","1","1",""
"NSD05-48S3","3.96","1","1",""
"NSD05-48S5","5","1","1",""
"NSD10-12D12","10.08","1","1",""
"NSD10-12D15","9.9","1","1",""
"NSD10-12D5","10","1","1",""
"NSD10-12S12","9.96","1","1",""
"NSD10-12S15","10.05","1","1",""
"NSD10-12S3","8.25","1","1",""
"NSD10-12S5","10","1","1",""
"NSD10-12S9","9.9","1","1",""
"NSD10-48D12","10.08","1","1",""
"NSD10-48D15","9.9","1","1",""
"NSD10-48D5","10","1","1",""
"NSD10-48S12","9.96","1","1",""
"NSD10-48S15","10.05","1","1",""
"NSD10-48S3","8.25","1","1",""
"NSD10-48S5","10","1","1",""
"NSD10-48S9","9.9","1","1",""
"NSD15-12D12","14.88","1","1",""
"NSD15-12D15","15","1","1",""
"NSD15-12D5","15","1","1",""
"NSD15-12S12","15","1","1",""
"NSD15-12S15","15","1","1",""
"NSD15-12S3","12.375","1","1",""
"NSD15-12S5","15","1","1",""
"NSD15-48D12","14.88","1","1",""
"NSD15-48D15","15","1","1",""
"NSD15-48D5","15","1","1",""
"NSD15-48S12","15","1","1",""
"NSD15-48S15","15","1","1",""
"NSD15-48S3","12.375","1","1",""
"NSD15-48S5","15","1","1",""
"NSP-100","100","1","1",""
"NSP-150","150","1","1",""
"NSP-200","200","1","1",""
"NSP-320","320","1","1",""
"NSP-500","500","1","1",""
"NSP-75","75","1","1",""
"NTS-250P","250","1","1",""
"NTS-300-112","300","1","1",""
"NTS-300-124","300","1","1",""
"NTS-300-148","300","1","1",""
"NTS-300-212","300","1","1",""
"NTS-300-224","300","1","1",""
"NTS-300-248","300","1","1",""
"NTS-400P","400","1","1",""
"NTS-450-112","450","1","1",""
"NTS-450-124","450","1","1",""
"NTS-450-148","450","1","1",""
"NTS-450-212","450","1","1",""
"NTS-450-224","450","1","1",""
"NTS-450-248","450","1","1",""
"OWA-120E-12","115.2","1","1",""
"OWA-120E-15","120","1","1",""
"OWA-120E-20","120","1","1",""
"OWA-120E-24","120","1","1",""
"OWA-120E-30","120","1","1",""
"OWA-120E-36","122.4","1","1",""
"OWA-120E-42","121.8","1","1",""
"OWA-120E-48","120","1","1",""
"OWA-120E-54","124.2","1","1",""
"OWA-120U-12","120","1","1",""
"OWA-120U-15","120","1","1",""
"OWA-120U-20","120","1","1",""
"OWA-120U-24","120","1","1",""
"OWA-120U-30","120","1","1",""
"OWA-120U-36","122.4","1","1",""
"OWA-120U-42","121.8","1","1",""
"OWA-120U-48","120","1","1",""
"OWA-120U-54","124.2","1","1",""
"OWA-200E-12","180","1","1",""
"OWA-200E-20","200","1","1",""
"OWA-200E-24","199","1","1",""
"OWA-200E-36","199","1","1",""
"OWA-200E-42","199","1","1",""
"OWA-200E-48","200","1","1",""
"OWA-200E-54","200","1","1",""
"OWA-200U-12","180","1","1",""
"OWA-200U-20","200","1","1",""
"OWA-200U-24","199","1","1",""
"OWA-200U-36","199","1","1",""
"OWA-200U-42","199","1","1",""
"OWA-200U-48","200","1","1",""
"OWA-200U-54","200","1","1",""
"OWA-60E-12","60","1","1",""
"OWA-60E-15","60","1","1",""
"OWA-60E-20","60","1","1",""
"OWA-60E-24","60","1","1",""
"OWA-60E-30","60","1","1",""
"OWA-60E-36","60.12","1","1",""
"OWA-60E-42","63","1","1",""
"OWA-60E-48","60","1","1",""
"OWA-60E-54","60.48","1","1",""
"OWA-60U-12","60","1","1",""
"OWA-60U-15","60","1","1",""
"OWA-60U-20","60","1","1",""
"OWA-60U-24","60","1","1",""
"OWA-60U-30","60","1","1",""
"OWA-60U-36","60.12","1","1",""
"OWA-60U-42","63","1","1",""
"OWA-60U-48","60","1","1",""
"OWA-60U-54","60.48","1","1",""
"OWA-90E-12","90","1","1",""
"OWA-90E-15","90","1","1",""
"OWA-90E-20","90","1","1",""
"OWA-90E-24","90","1","1",""
"OWA-90E-30","90","1","1",""
"OWA-90E-36","90","1","1",""
"OWA-90E-42","90.3","1","1",""
"OWA-90E-48","90.24","1","1",""
"OWA-90E-54","90.18","1","1",""
"OWA-90U-12","90","1","1",""
"OWA-90U-15","90","1","1",""
"OWA-90U-20","90","1","1",""
"OWA-90U-24","90","1","1",""
"OWA-90U-30","90","1","1",""
"OWA-90U-36","90","1","1",""
"OWA-90U-42","90.3","1","1",""
"OWA-90U-48","90.24","1","1",""
"OWA-90U-54","90.18","1","1",""
"P1J","0.1","1","1",""
"PCD-16-1050","16.8","1","1",""
"PCD-16-1400","16.8","1","1",""
"PCD-16-350","16.8","1","1",""
"PCD-16-700","16.8","1","1",""
"PCD-25-1050","25.2","1","1",""
"PCD-25-1400","25.2","1","1",""
"PCD-25-350","20.3","1","1",""
"PCD-25-700","25.2","1","1",""
"PCD-40-350B","37.8","1","1",""
"PCD-60-1050B","59.85","1","1",""
"PCD-60-1400B","60.2","1","1",""
"PCD-60-1750B","59.5","1","1",""
"PCD-60-2000B","60","1","1",""
"PCD-60-2400B","60","1","1",""
"PCD-60-500B","54","1","1",""
"PCD-60-700B","60.2","1","1",""
"PD-25","24.9","1","1",""
"PD-45","40","1","1",""
"PD-65","61.1","1","1",""
"PHP-3500","3500","1","1",""
"PLC-100-12","60","1","1",""
"PLC-100-15","75","1","1",""
"PLC-100-20","96","1","1",""
"PLC-100-24","96","1","1",""
"PLC-100-27","95.85","1","1",""
"PLC-100-36","95.4","1","1",""
"PLC-100-48","96","1","1",""
"PLC-30-12","30","1","1",""
"PLC-30-15","30","1","1",""
"PLC-30-20","30","1","1",""
"PLC-30-24","30","1","1",""
"PLC-30-27","30.24","1","1",""
"PLC-30-36","30.24","1","1",""
"PLC-30-48","30.24","1","1",""
"PLC-30-9","29.7","1","1",""
"PLC-45-12","45.6","1","1",""
"PLC-45-15","45","1","1",""
"PLC-45-20","46","1","1",""
"PLC-45-24","45.6","1","1",""
"PLC-45-27","45.9","1","1",""
"PLC-45-36","45","1","1",""
"PLC-45-48","45.6","1","1",""
"PLC-60-12","60","1","1",""
"PLC-60-15","60","1","1",""
"PLC-60-20","60","1","1",""
"PLC-60-24","60","1","1",""
"PLC-60-27","62.1","1","1",""
"PLC-60-36","61.2","1","1",""
"PLC-60-48","62.4","1","1",""
"PLD-25-1050","25.2","1","1",""
"PLD-25-1400","25.2","1","1",""
"PLD-25-350","20.3","1","1",""
"PLD-25-700","25.2","1","1",""
"PLD-60-1050B","59.85","1","1",""
"PLD-60-1400B","60.2","1","1",""
"PLD-60-1750B","59.5","1","1",""
"PLD-60-2000B","60","1","1",""
"PLD-60-2400B","60","1","1",""
"PLD-60-500B","54","1","1",""
"PLD-60-700B","60.2","1","1",""
"PLM-12","12.6","1","1",""
"PLM-25","25.2","1","1",""
"PLN-100-12","60","1","1",""
"PLN-100-15","75","1","1",""
"PLN-100-20","96","1","1",""
"PLN-100-24","96","1","1",""
"PLN-100-27","95.85","1","1",""
"PLN-100-36","95.4","1","1",""
"PLN-100-48","96","1","1",""
"PLN-20-18","19.8","1","1",""
"PLN-20-36","19.8","1","1",""
"PLN-30-12","30","1","1",""
"PLN-30-15","30","1","1",""
"PLN-30-20","30","1","1",""
"PLN-30-24","30","1","1",""
"PLN-30-27","30.24","1","1",""
"PLN-30-36","30.24","1","1",""
"PLN-30-48","30.24","1","1",""
"PLN-30-9","29.7","1","1",""
"PLN-45-15","45","1","1",""
"PLN-45-20","46","1","1",""
"PLN-45-24","45.6","1","1",""
"PLN-45-27","45.9","1","1",""
"PLN-45-36","45","1","1",""
"PLN-45-48","45.6","1","1",""
"PLN-60-12","60","1","1",""
"PLN-60-15","60","1","1",""
"PLN-60-20","60","1","1",""
"PLN-60-24","60","1","1",""
"PLN-60-27","62.1","1","1",""
"PLN-60-36","61.2","1","1",""
"PLN-60-48","62.4","1","1",""
"PLP-30-12","30","1","1",""
"PLP-30-24","31.2","1","1",""
"PLP-30-48","30.24","1","1",""
"PLP-60-12","60","1","1",""
"PLP-60-24","60","1","1",""
"PLP-60-48","62.4","1","1",""
"POE(55V","500","2","2","multiple watt values detected across PDFs"
"PPT-125","79","1","1",""
"PSC-100A","100.05","1","1",""
"PSC-100B","100.74","1","1",""
"PSC-160A","160","1","1",""
"PSC-160B","160","1","1",""
"PSC-35A","35.88","1","1",""
"PSC-35B","35.88","1","1",""
"PSC-60A","59.34","1","1",""
"PSC-60B","59.34","1","1",""
"PSD-15","15","1","1",""
"PSD-30A-5","25","1","1",""
"PSD-30B-5","30","1","1",""
"PSD-30C-5","30","1","1",""
"PSD-45","30","1","1",""
"PSP-600-12","600","1","1",""
"PSP-600-13.5","600.75","1","1",""
"PSP-600-15","600","1","1",""
"PSP-600-24","600","1","1",""
"PSP-600-27","599.4","1","1",""
"PSP-600-48","600","1","1",""
"PSP-600-5","400","1","1",""
"PT-45","40.5","1","1",""
"PT-65","60","1","1",""
"PT-6503","61.8","1","1",""
"PWM-120-KN","120","1","1",""
"PWM-200KN","200","1","1",""
"PWM-60-KN","60","1","1",""
"QP-150-3A","146","1","1",""
"QP-150-3B","150.2","1","1",""
"QP-150-3C","152","1","1",""
"QP-320D","316","1","1",""
"QP-320F","316","1","1",""
"RD-125A","130.9","1","1",""
"RD-125B","133.4","1","1",""
"RD-3513","35.1","1","1",""
"RD-35A","32","1","1",""
"RD-35B","35","1","1",""
"RD-50A","54","1","1",""
"RD-50B","53.6","1","1",""
"RD-65A","66","1","1",""
"RD-65B","68","1","1",""
"RD-85A","88","1","1",""
"RD-85B","88","1","1",""
"RDDW08","8","1","1",""
"RDDW10","10","1","1",""
"RDDW20","20","1","1",""
"RDDW20UW","20","1","1",""
"RDDW40","40","1","1",""
"RDDW60","60","1","1",""
"RHP-1U","7500","1","1",""
"RHP-1U%20RACK%20SYSTEM","7500","1","1",""
"RID-125-1224","133.2","1","1",""
"RID-125-1248","138","1","1",""
"RID-125-2448","144","1","1",""
"RID-50A","54","1","1",""
"RID-50B","53.6","1","1",""
"RID-65A","66","1","1",""
"RID-65B","68","1","1",""
"RID-85A","88","1","1",""
"RID-85B","88","1","1",""
"RKP-CMU1","25","1","1",""
"RPD-60A","49","1","1",""
"RPD-60B","53.5","1","1",""
"RPD-65","60","1","1",""
"RPD-75A","71","1","1",""
"RPD-75B","73","1","1",""
"RPS-30","19.8","1","1",""
"RPS-300","0.5","3","3","multiple watt values detected across PDFs"
"RPS-300-C).","0.5","3","3","multiple watt values detected across PDFs"
"RPS-400","400.5","1","1",""
"RPS-60","60","1","1",""
"RPS-75-12","75.6","1","1",""
"RPS-75-15","75","1","1",""
"RPS-75-24","76.8","1","1",""
"RPS-75-3.3","49.5","1","1",""
"RPS-75-36","75.6","1","1",""
"RPS-75-48","76.8","1","1",""
"RPS-75-5","70","1","1",""
"RPT(G)-160","145","1","1",""
"RPT(G)-160-C","145","1","1",""
"RPT-60A","46.5","1","1",""
"RPT-60B","50","1","1",""
"RPT-60C","50","1","1",""
"RPT-65","62.5","1","1",""
"RPT-75A","68.5","1","1",""
"RPT-75B","72","1","1",""
"RPT-75C","72","1","1",""
"RQ-125B","120","2","2","multiple watt values detected across PDFs"
"RQ-125C","122.5","2","2","multiple watt values detected across PDFs"
"RQ-125D","124","2","2","multiple watt values detected across PDFs"
"RQ-50B","45.5","1","1",""
"RQ-50C","50","1","1",""
"RQ-50D","53.4","1","1",""
"RQ-65B","62.5","1","1",""
"RQ-65C","65","1","1",""
"RQ-65D","68","1","1",""
"RQ-85B","80.7","1","1",""
"RQ-85C","82.5","1","1",""
"RQ-85D","84","1","1",""
"RQB150W12","150","1","1",""
"RQB150W3","150","1","1",""
"RQB40W12","40","1","1",""
"RQB60W12","60","1","1",""
"RS-100-12","102","1","1",""
"RS-100-15","105","1","1",""
"RS-100-24","108","1","1",""
"RS-100-3.3","66","1","1",""
"RS-100-48","110.4","1","1",""
"RS-100-5","80","1","1",""
"RS-150-12","150","1","1",""
"RS-150-15","150","1","1",""
"RS-150-24","156","1","1",""
"RS-150-3.3","99","1","1",""
"RS-150-48","158.4","1","1",""
"RS-150-5","130","1","1",""
"RS-15-12","15.6","2","2","multiple watt values detected across PDFs"
"RS-15-15","15","2","2","multiple watt values detected across PDFs"
"RS-15-24","15","2","2","multiple watt values detected across PDFs"
"RS-15-3.3","9.9","2","2","multiple watt values detected across PDFs"
"RS-15-48","15.024","2","2","multiple watt values detected across PDFs"
"RS-15-5","15","2","2","multiple watt values detected across PDFs"
"RS-25-12","25.2","1","1",""
"RS-25-15","25.5","1","1",""
"RS-25-24","26.4","1","1",""
"RS-25-3.3","19.8","1","1",""
"RS-25-48","27.36","1","1",""
"RS-25-5","25","1","1",""
"RS-35-12","36","1","1",""
"RS-35-15","36","1","1",""
"RS-35-24","36","1","1",""
"RS-35-3.3","23.1","1","1",""
"RS-35-48","38.4","1","1",""
"RS-35-5","35","1","1",""
"RS-50-12","50.4","1","1",""
"RS-50-15","51","1","1",""
"RS-50-24","52.8","1","1",""
"RS-50-3.3","33","1","1",""
"RS-50-48","52.8","1","1",""
"RS-50-5","50","1","1",""
"RS-75-12","72","1","1",""
"RS-75-15","75","1","1",""
"RS-75-24","76.8","1","1",""
"RS-75-3.3","49.5","1","1",""
"RS-75-48","76.8","1","1",""
"RS-75-5","60","1","1",""
"RSD-100B-12","100.8","1","1",""
"RSD-100B-24","100.8","1","1",""
"RSD-100B-5","100","1","1",""
"RSD-100C-12","100.8","1","1",""
"RSD-100C-24","100.8","1","1",""
"RSD-100C-5","100","1","1",""
"RSD-100D-12","100.8","1","1",""
"RSD-100D-24","100.8","1","1",""
"RSD-100D-5","100","1","1",""
"RSD-150B-12","150","1","1",""
"RSD-150B-24","151.2","1","1",""
"RSD-150B-5","150","1","1",""
"RSD-150C-12","150","1","1",""
"RSD-150C-24","151.2","1","1",""
"RSD-150C-5","150","1","1",""
"RSD-150D-12","150","1","1",""
"RSD-150D-24","151.2","1","1",""
"RSD-150D-5","150","1","1",""
"RSD-200B-12","200.4","1","1",""
"RSD-200B-24","201.6","1","1",""
"RSD-200B-48","201.6","1","1",""
"RSD-200C-12","200.4","1","1",""
"RSD-200C-24","201.6","1","1",""
"RSD-200C-48","201.6","1","1",""
"RSD-200D-12","200.4","1","1",""
"RSD-200D-24","201.6","1","1",""
"RSD-200D-48","201.6","1","1",""
"RSD-300B-12","270","1","1",""
"RSD-300B-24","271.2","1","1",""
"RSD-300B-48","273.6","1","1",""
"RSD-300B-5","210","1","1",""
"RSD-300C-12","300","1","1",""
"RSD-300C-24","300","1","1",""
"RSD-300C-48","302.4","1","1",""
"RSD-300C-5","210","1","1",""
"RSD-30G-12","30","1","1",""
"RSD-30G-24","30","1","1",""
"RSD-30G-3.3","19.8","1","1",""
"RSD-30G-5","30","1","1",""
"RSD-30L-12","30","1","1",""
"RSD-30L-24","30","1","1",""
"RSD-30L-3.3","19.8","1","1",""
"RSD-30L-5","30","1","1",""
"RSD-500B-12","420","1","1",""
"RSD-500B-24","420","1","1",""
"RSD-500B-48","422.4","1","1",""
"RSD-500C-12","420","1","1",""
"RSD-500C-24","460.8","1","1",""
"RSD-500C-48","460.8","1","1",""
"RSD-500D-12","420","1","1",""
"RSD-500D-24","499.2","1","1",""
"RSD-500D-48","499.2","1","1",""
"RSD-60G-12","60","1","1",""
"RSD-60G-24","60","1","1",""
"RSD-60G-3.3","39.6","1","1",""
"RSD-60G-5","60","1","1",""
"RSD-60L-12","60","1","1",""
"RSD-60L-24","60","1","1",""
"RSD-60L-3.3","39.6","1","1",""
"RSD-60L-5","60","1","1",""
"RSDH-150","120","1","1",""
"RSDH-300","240","1","1",""
"RSDW08","8","1","1",""
"RSDW08,RDDW08","8","1","1",""
"RSDW10","10","2","2","multiple watt values detected across PDFs"
"RSDW20","20","1","1",""
"RSDW20UW","20","1","1",""
"RSDW40","40","1","1",""
"RSDW60","60","1","1",""
"RSP-100-12","102","1","1",""
"RSP-100-13.5","101.25","1","1",""
"RSP-100-15","100.5","1","1",""
"RSP-100-24","100.8","1","1",""
"RSP-100-27","102.6","1","1",""
"RSP-100-3.3","66","1","1",""
"RSP-100-48","100.8","1","1",""
"RSP-100-5","100","1","1",""
"RSP-100-7.5","101.25","1","1",""
"RSP-200-12","200.4","1","1",""
"RSP-200-2.5","100","1","1",""
"RSP-200-3.3","132","1","1",""
"RSP-200-4","160","1","1",""
"RSP-200-5","200","1","1",""
"RSP-200-7.5","200.25","1","1",""
"RSP-320-12","320.4","1","1",""
"RSP-320-2.5","150","1","1",""
"RSP-320-3.3","198","1","1",""
"RSP-320-4","240","1","1",""
"RSP-320-5","300","1","1",""
"RSP-320-7.5","300","1","1",""
"RSP-500-12","500.4","1","1",""
"RSP-500-24","504","1","1",""
"RSP-500-27","502.2","1","1",""
"RSP-500-3.3","297","1","1",""
"RSP-500-4","360","1","1",""
"RSP-500-48","504","1","1",""
"RSP-500-5","450","1","1",""
"RSP-750-12","750","1","1",""
"RSP-750-15","750","1","1",""
"RSP-750-24","751.2","1","1",""
"RSP-750-27","750.6","1","1",""
"RSP-750-48","753.6","1","1",""
"RSP-750-5","500","1","1",""
"RSP-75-12","75.6","1","1",""
"RSP-75-13.5","75.6","1","1",""
"RSP-75-15","75","1","1",""
"RSP-75-24","76.8","1","1",""
"RSP-75-27","75.6","1","1",""
"RSP-75-3.3","49.5","1","1",""
"RSP-75-48","76.8","1","1",""
"RSP-75-5","75","1","1",""
"RSP-75-7.5","75","1","1",""
"RT-125A","131","1","1",""
"RT-125B","132","1","1",""
"RT-125C","132.5","1","1",""
"RT-125D","136","1","1",""
"RT-50A","46.5","1","1",""
"RT-50B","50","1","1",""
"RT-50C","50","1","1",""
"RT-50D","51","1","1",""
"RT-65A","66.1","1","1",""
"RT-65B","64.6","1","1",""
"RT-65C","65.5","1","1",""
"RT-65D","68","1","1",""
"RT-85A","84.5","1","1",""
"RT-85B","88","1","1",""
"RT-85C","87.5","1","1",""
"RT-85D","90","1","1",""
"SBP-001","0.5","1","1",""
"SBTN01","1","1","1",""
"SBTN01-N","1","1","1",""
"SCP-35-12","35.9","1","1",""
"SCP-50","49.7","1","1",""
"SCP-75","74.5","1","1",""
"SCW08A-05","8","1","1",""
"SCW08A-12","8","1","1",""
"SCW08A-15","8","1","1",""
"SCW08B-05","8","1","1",""
"SCW08B-12","8","1","1",""
"SCW08B-15","8","1","1",""
"SCW08C-05","8","1","1",""
"SCW08C-12","8","1","1",""
"SCW08C-15","8","1","1",""
"SCW08W8","8","2","2","multiple watt values detected across PDFs"
"SCW12A-05","12","1","1",""
"SCW12A-12","12","1","1",""
"SCW12A-15","12","1","1",""
"SCW12B-05","12","1","1",""
"SCW12B-12","12","1","1",""
"SCW12B-15","12","1","1",""
"SCW12C-05","12","1","1",""
"SCW12C-12","12","1","1",""
"SCW12C-15","12","1","1",""
"SCW12W8","12","2","2","multiple watt values detected across PDFs"
"SCW20W8","20","1","1",""
"SCWN03","3","1","1",""
"SCWN03,DCWN03","3","1","1",""
"SCWN03W8","3","2","2","multiple watt values detected across PDFs"
"SCWN06","6","1","1",""
"SCWN06,DCWN06","6","1","1",""
"SCWN06W8","6","2","2","multiple watt values detected across PDFs"
"SD-1000H-12","720","1","1",""
"SD-1000H-24","960","1","1",""
"SD-1000H-48","1008","1","1",""
"SD-1000L-12","720","1","1",""
"SD-1000L-24","960","1","1",""
"SD-1000L-48","1008","1","1",""
"SD-100A-5","90","1","1",""
"SD-100B-5","100","1","1",""
"SD-100C-5","102","1","1",""
"SD-100D-5","100.8","1","1",""
"SD-15","15","1","1",""
"SD-150B-12","150","1","1",""
"SD-150C-12","151.2","1","1",""
"SD-25A-5","25","1","1",""
"SD-25B-5","25.2","1","1",""
"SD-25C-5","26.4","1","1",""
"SD-350","285","1","1",""
"SD-500H-12","480","1","1",""
"SD-500H-24","504","1","1",""
"SD-500H-48","504","1","1",""
"SD-500L-12","480","1","1",""
"SD-500L-24","504","1","1",""
"SD-500L-48","504","1","1",""
"SD-50A-5","50","1","1",""
"SD-50B-5","50.4","1","1",""
"SD-50C-5","50.4","1","1",""
"SDM30-12S3","16.5","1","1",""
"SDM30-24S3","25","1","1",""
"SDP-001","1","1","1",""
"SDR-120","120","1","1",""
"SDR-240","240","1","1",""
"SDR-480","480","1","1",""
"SDR-480P","480","1","1",""
"SDR-75","75.6","1","1",""
"SDR-960","960","1","1",""
"SE-1000-12","999.6","1","1",""
"SE-1000-15","1000.5","1","1",""
"SE-1000-24","1000.8","1","1",""
"SE-1000-48","998.4","1","1",""
"SE-1000-5","750","1","1",""
"SE-1000-9","900","1","1",""
"SE-1500-12","1500","1","1",""
"SE-1500-15","1500","1","1",""
"SE-1500-24","1500","1","1",""
"SE-1500-27","1501.2","1","1",""
"SE-1500-48","1502.4","1","1",""
"SE-1500-5","1500","1","1",""
"SE-450-12","450","1","1",""
"SE-450-15","450","1","1",""
"SE-450-24","451.2","1","1",""
"SE-450-3.3","247.5","1","1",""
"SE-450-36","450","1","1",""
"SE-450-48","451.2","1","1",""
"SE-450-5","375","1","1",""
"SE-600","500","1","1",""
"SFTN01","1","1","1",""
"SFTN01-N","1","1","1",""
"SFTN02","2","1","1",""
"SFTN02-N","2","1","1",""
"SIP4","2","2","2","multiple watt values detected across PDFs"
"SKA20A-05","20","1","1",""
"SKA20A-12","20","1","1",""
"SKA20A-15","20","1","1",""
"SKA20B-05","20","1","1",""
"SKA20B-12","20","1","1",""
"SKA20B-15","20","1","1",""
"SKA20C-05","20","1","1",""
"SKA20C-12","20","1","1",""
"SKA20C-15","20","1","1",""
"SKA40A-05","35","1","1",""
"SKA40B-05","40","1","1",""
"SKA40C-05","40","1","1",""
"SKA60A-05","60","1","1",""
"SKA60A-12","60","1","1",""
"SKA60A-15","60","1","1",""
"SKA60B-05","60","1","1",""
"SKA60B-12","60","1","1",""
"SKA60B-15","60","1","1",""
"SKA60C-05","60","1","1",""
"SKA60C-12","60","1","1",""
"SKA60C-15","60","1","1",""
"SKE10A-","10","1","1",""
"SKE10B-","10","1","1",""
"SKE10C-","10","1","1",""
"SKE15A-","15","1","1",""
"SKE15B-","15","1","1",""
"SKE15C-","15","1","1",""
"SKM10","10","1","1",""
"SKM10,DKM10","10","1","1",""
"SKM30-XXN/DKM30-XXN)","30","3","3","multiple watt values detected across PDFs"
"SKM30-XXNST/DKM30-XXNST)","30","3","3","multiple watt values detected across PDFs"
"SKM50B-05","50","1","1",""
"SKM50B-12","50","1","1",""
"SKM50B-15","50","1","1",""
"SKM50C-05","50","1","1",""
"SKM50C-12","50","1","1",""
"SKM50C-15","50","1","1",""
"SKMW15","15","1","1",""
"SKMW20","20","1","1",""
"SKMW20,DKMW20","20","1","1",""
"SKMW30","30","1","1",""
"SKMW30,DKMW30","30","1","1",""
"SKMW40","40","1","1",""
"SLC03","3","1","1",""
"SLC03,DLC03","3","1","1",""
"SLW05A-","5","1","1",""
"SLW05B-","5","1","1",""
"SLW05C-","5","1","1",""
"SMA01L-05","1","1","1",""
"SMA01L-09","1","1","1",""
"SMA01M-05","1","1","1",""
"SMA01M-09","1","1","1",""
"SMA01N-05","1","1","1",""
"SMA01N-09","1","1","1",""
"SMU01L-05","1","1","1",""
"SMU01L-09","1","1","1",""
"SMU01M-05","1","1","1",""
"SMU01M-09","1","1","1",""
"SMU01N-05","1","1","1",""
"SMU01N-09","1","1","1",""
"SMU02L-05","2","1","1",""
"SMU02L-12","2","1","1",""
"SMU02L-15","2","1","1",""
"SMU02M-05","2","1","1",""
"SMU02M-12","2","1","1",""
"SMU02M-15","2","1","1",""
"SMU02N-05","2","1","1",""
"SMU02N-12","2","1","1",""
"SMU02N-15","2","1","1",""
"SPA01A-05","1","1","1",""
"SPA01A-12","1","1","1",""
"SPA01A-15","1","1","1",""
"SPA01B-05","1","1","1",""
"SPA01B-12","1","1","1",""
"SPA01B-15","1","1","1",""
"SPA01C-05","1","1","1",""
"SPA01C-12","1","1","1",""
"SPA01C-15","1","1","1",""
"SPA01W8","1","2","2","multiple watt values detected across PDFs"
"SPAN02","2","1","1",""
"SPAN02,DPAN02","2","1","1",""
"SPAN02W8","2","2","2","multiple watt values detected across PDFs"
"SPB09","9","1","1",""
"SPB09,DPB09","9","1","1",""
