"Model","Watt(W)","Sources","DistinctPDFs","Note"
"DALI-2","315","7","7","multiple watt values detected across PDFs"
"DAP-04","0.5","1","1",""
"DCW08A-05","8","1","1",""
"DCW08A-12","8","1","1",""
"DCW08A-15","8","1","1",""
"DCW08B-05","8","1","1",""
"DCW08B-12","8","1","1",""
"DCW08B-15","8","1","1",""
"DCW08C-05","8","1","1",""
"DCW08C-12","8","1","1",""
"DCW08C-15","8","1","1",""
"DCW08W8","8","1","1",""
"DCW12A-05","12","1","1",""
"DCW12A-12","12","1","1",""
"DCW12A-15","12","1","1",""
"DCW12B-05","12","1","1",""
"DCW12B-12","12","1","1",""
"DCW12B-15","12","1","1",""
"DCW12C-05","12","1","1",""
"DCW12C-12","12","1","1",""
"DCW12C-15","12","1","1",""
"DCW12W8","12","1","1",""
"DCW20W8","20","1","1",""
"DCWN03","3","1","1",""
"DCWN03W8","3","1","1",""
"DCWN06","6","1","1",""
"DCWN06W8","6","1","1",""
"DDR-15G-24","11.6","1","1",""
"DDR-30","30","1","1",""
"DDR-480B-12","400.8","1","1",""
"DDR-480B-24","480","1","1",""
"DDR-480B-48","480","1","1",""
"DDR-480C-12","400.8","1","1",""
"DDR-480C-24","480","1","1",""
"DDR-480C-48","480","1","1",""
"DDR-480D-12","400.8","1","1",""
"DDR-480D-24","480","1","1",""
"DDR-480D-48","480","1","1",""
"DDR-60","54","1","1",""
"DDRH-120","100.8","1","1",""
"DDRH-15-XXP","15","3","3","multiple watt values detected across PDFs"
"DDRH-15-XXST","15","3","3","multiple watt values detected across PDFs"
"DDRH-240","200.4","1","1",""
"DDRH-30-XXP","30","3","3","multiple watt values detected across PDFs"
"DDRH-30-XXST","30","3","3","multiple watt values detected across PDFs"
"DDRH-45-XXP","45","3","3","multiple watt values detected across PDFs"
"DDRH-45-XXST","45","3","3","multiple watt values detected across PDFs"
"DDRH-60-24","50","1","1",""
"DETN01","1","1","1",""
"DETN01-N","1","1","1",""
"DETN02","2","1","1",""
"DETN02-N","2","1","1",""
"DKA15A-05","15","1","1",""
"DKA15A-12","15","1","1",""
"DKA15A-15","15","1","1",""
"DKA15B-05","15","1","1",""
"DKA15B-12","15","1","1",""
"DKA15B-15","15","1","1",""
"DKA15C-05","15","1","1",""
"DKA15C-12","15","1","1",""
"DKA15C-15","15","1","1",""
"DKA30A-05","25","1","1",""
"DKA30B-05","30","1","1",""
"DKA30C-05","30","1","1",""
"DKE10A-","10","1","1",""
"DKE10B-","10","1","1",""
"DKE10C-","10","1","1",""
"DKE15A-","15","1","1",""
"DKE15B-","15","1","1",""
"DKE15C-","15","1","1",""
"DKM10","10","1","1",""
"DKMW15","15","1","1",""
"DKMW20","20","1","1",""
"DKMW30","30","1","1",""
"DKMW40","40","1","1",""
"DLC-02","7.68","2","2","multiple watt values detected across PDFs"
"DLC-02-KN","7.68","1","1",""
"DLC03","3","1","1",""
"DLW05A-05","5","1","1",""
"DLW05A-12","5","1","1",""
"DLW05A-15","5","1","1",""
"DLW05B-05","5","1","1",""
"DLW05B-12","5","1","1",""
"DLW05B-15","5","1","1",""
"DLW05C-05","5","1","1",""
"DLW05C-12","5","1","1",""
"DLW05C-15","5","1","1",""
"DPA01W8","1","1","1",""
"DPAN02","2","1","1",""
"DPAN02W8","2","1","1",""
"DPB09","9","1","1",""
"DPB09W8","9","1","1",""
"DPBW03","3","1","1",""
"DPBW03W8","3","1","1",""
"DPBW06","6","1","1",""
"DPBW06W8","6","1","1",""
"DPRN01","1","1","1",""
"DPU01","1","1","1",""
"DRA-40-12","40.08","1","1",""
"DRA-40-24","40.8","1","1",""
"DRA-60-12","60","1","1",""
"DRA-60-24","60","1","1",""
"DRC-100A","96.6","1","1",""
"DRC-100B","96.6","1","1",""
"DRC-180A","179.4","1","1",""
"DRC-180B","179.4","1","1",""
"DRC-40A","40.02","1","1",""
"DRC-40B","40.02","1","1",""
"DRC-60A","59.34","1","1",""
"DRC-60B","59.34","1","1",""
"DRDN20","1.5","1","1",""
"DRDN40","1.5","1","1",""
"EDR-120","120","1","1",""
"EDR-150","156","1","1",""
"EDR-75","75.6","1","1",""
"ELP-75-15","75","1","1",""
"ELP-75-3.3","49.5","1","1",""
"ELP-75-48","76.8","1","1",""
"ELP-75-5","75","1","1",""
"EN/EN60601","0.1","1","1",""
"EN/EN60601-1/-1-11","36","3","3","multiple watt values detected across PDFs"
"EN/EN61347-1","37.8","1","1",""
"EN/EN61347-2-13","37.8","1","1",""
"EN/EN61558","60","1","1",""
"EN/EN61800-5-1","350","8","8","multiple watt values detected across PDFs"
"EN/EN62368-1","3200","62","62","multiple watt values detected across PDFs"
"EN/EN62384","37.8","1","1",""
"EN60601","0.1","1","1",""
"EN60601-1/-1-11","36","3","3","multiple watt values detected across PDFs"
"EN62368-1","3200","12","12","multiple watt values detected across PDFs"
"ENC-120","115.2","1","1",""
"ENC-180","172.8","1","1",""
"ENC-240","230.4","1","1",""
"ENC-360","345.6","1","1",""
"ENP-120","120","1","1",""
"ENP-180","180","1","1",""
"ENP-240","240","1","1",""
"ENP-360","360","1","1",""
"EPP-100-12","75.6","1","1",""
"EPP-100-15","75","1","1",""
"EPP-100-24","76.8","1","1",""
"EPP-100-27","75.6","1","1",""
"EPP-100-48","76.8","1","1",""
"EPP-120S","120","1","1",""
"EPP-150-12","100.8","1","1",""
"EPP-150-15","100.5","1","1",""
"EPP-150-24","100.8","1","1",""
"EPP-150-27","100.17","1","1",""
"EPP-150-48","100.8","1","1",""
"EPP-200","200.4","1","1",""
"EPP-300","200","1","1",""
"EPP-400-24","400.8","1","1",""
"EPP-400-36","403.2","1","1",""
"EPP-500","500","1","1",""
"EPS-120","120","1","1",""
"EPS-15-15","15","1","1",""
"EPS-15-3.3","9.9","1","1",""
"EPS-15-48","15.02","1","1",""
"EPS-15-5","15","1","1",""
"EPS-15-7.5","15","1","1",""
"EPS-25-15","25.5","1","1",""
"EPS-25-3.3","16.5","1","1",""
"EPS-25-48","25.44","1","1",""
"EPS-25-5","25","1","1",""
"EPS-25-7.5","25.5","1","1",""
"EPS-35-15","36","1","1",""
"EPS-35-3.3","19.8","1","1",""
"EPS-35-48","36","1","1",""
"EPS-35-5","30","1","1",""
"EPS-35-7.5","35.25","1","1",""
"EPS-45-15","45","1","1",""
"EPS-45-3.3","26.4","1","1",""
